record_number,date,time,location,sample_duration_s,flow_CFM,laser_ok,flow_ok,temp_ok,rh_ok,temp_C,RH_pct,ch1_size_um,ch1_diff_counts,ch1_diff_ft3,ch1_diff_m3,ch1_diff_mass_ugm3,ch1_sum_m3,ch1_pm_ugm3,ch2_size_um,ch2_diff_counts,ch2_diff_ft3,ch2_diff_m3,ch2_diff_mass_ugm3,ch2_sum_m3,ch2_pm_ugm3,ch3_size_um,ch3_diff_counts,ch3_diff_ft3,ch3_diff_m3,ch3_diff_mass_ugm3,ch3_sum_m3,ch3_pm_ugm3,ch4_size_um,ch4_diff_counts,ch4_diff_ft3,ch4_diff_m3,ch4_diff_mass_ugm3,ch4_sum_m3,ch4_pm_ugm3,ch5_size_um,ch5_diff_counts,ch5_diff_ft3,ch5_diff_m3,ch5_diff_mass_ugm3,ch5_sum_m3,ch5_pm_ugm3,ch6_size_um,ch6_diff_counts,ch6_diff_ft3,ch6_diff_m3,ch6_diff_mass_ugm3,ch6_sum_m3,ch6_pm_ugm3
11,,,,60.0,0.1,True,True,True,True,0.0,,0.3,2861.0,28608.0,1010283.0,0.08,1063957.0,0.0,0.5,123.0,1229.0,43434.0,0.02,53674.0,0.08,1.0,26.0,259.0,9181.0,0.06,10240.0,0.1,2.5,3.0,29.0,1059.0,0.07,1059.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,0.23,10.0,0.0,0.0,0.0,0.0,0.0,0.23
12,,,,60.0,0.1,True,True,True,True,0.0,,0.3,2647.0,26473.0,934900.0,0.08,983286.0,0.0,0.5,119.0,1190.0,42029.0,0.02,48386.0,0.08,1.0,11.0,110.0,3885.0,0.03,6357.0,0.1,2.5,6.0,60.0,2119.0,0.15,2472.0,0.13,5.0,0.0,0.0,0.0,0.0,353.0,0.28,10.0,1.0,10.0,353.0,1.56,353.0,0.28
13,,,,60.0,0.1,True,True,True,True,0.0,,0.3,2310.0,23103.0,815909.0,0.07,862177.0,0.0,0.5,118.0,1180.0,41678.0,0.02,46268.0,0.07,1.0,9.0,90.0,3178.0,0.02,4590.0,0.09,2.5,3.0,30.0,1059.0,0.07,1412.0,0.11,5.0,1.0,10.0,353.0,0.2,353.0,0.18,10.0,0.0,0.0,0.0,0.0,0.0,0.38
14,,,,60.0,0.1,True,True,True,True,0.0,,0.3,2620.0,26202.0,925348.0,0.08,967376.0,0.0,0.5,103.0,1030.0,36378.0,0.02,42028.0,0.08,1.0,11.0,110.0,3885.0,0.03,5650.0,0.1,2.5,5.0,50.0,1765.0,0.12,1765.0,0.13,5.0,0.0,0.0,0.0,0.0,0.0,0.25,10.0,0.0,0.0,0.0,0.0,0.0,0.25
15,,,,60.0,0.1,True,True,True,True,0.0,,0.3,1257.0,12570.0,443929.0,0.04,472534.0,0.0,0.5,71.0,710.0,25074.0,0.01,28605.0,0.04,1.0,8.0,80.0,2825.0,0.02,3531.0,0.05,2.5,1.0,10.0,353.0,0.02,706.0,0.07,5.0,1.0,10.0,353.0,0.2,353.0,0.09,10.0,0.0,0.0,0.0,0.0,0.0,0.29
16,,,,60.0,0.1,True,True,True,True,0.0,,0.3,696.0,6960.0,245817.0,0.02,257118.0,0.0,0.5,27.0,270.0,9536.0,0.01,11301.0,0.02,1.0,2.0,20.0,706.0,0.0,1765.0,0.03,2.5,2.0,20.0,706.0,0.05,1059.0,0.03,5.0,1.0,10.0,353.0,0.2,353.0,0.08,10.0,0.0,0.0,0.0,0.0,0.0,0.28
17,,,,60.0,0.1,True,True,True,True,0.0,,0.3,988.0,9879.0,348908.0,0.03,363386.0,0.0,0.5,39.0,389.0,13772.0,0.01,14478.0,0.03,1.0,2.0,19.0,706.0,0.0,706.0,0.04,2.5,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04
18,,,,60.0,0.1,True,True,True,True,0.0,,0.3,791.0,7909.0,279330.0,0.02,293102.0,0.0,0.5,30.0,299.0,10594.0,0.01,13772.0,0.02,1.0,9.0,89.0,3178.0,0.02,3178.0,0.03,2.5,0.0,0.0,0.0,0.0,0.0,0.05,5.0,0.0,0.0,0.0,0.0,0.0,0.05,10.0,0.0,0.0,0.0,0.0,0.0,0.05
19,,,,60.0,0.1,True,True,True,True,0.0,,0.3,659.0,6590.0,232749.0,0.02,244050.0,0.0,0.5,27.0,270.0,9536.0,0.01,11301.0,0.02,1.0,4.0,40.0,1412.0,0.01,1765.0,0.03,2.5,1.0,10.0,353.0,0.02,353.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.06,10.0,0.0,0.0,0.0,0.0,0.0,0.06
20,,,,60.0,0.1,True,True,True,True,0.0,,0.3,762.0,7621.0,269136.0,0.02,281496.0,0.0,0.5,30.0,300.0,10595.0,0.01,12360.0,0.02,1.0,4.0,40.0,1412.0,0.01,1765.0,0.03,2.5,1.0,10.0,353.0,0.02,353.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.06,10.0,0.0,0.0,0.0,0.0,0.0,0.06
21,,,,60.0,0.1,True,True,True,True,0.0,,0.3,631.0,6310.0,222850.0,0.02,235916.0,0.0,0.5,29.0,290.0,10241.0,0.01,13066.0,0.02,1.0,8.0,80.0,2825.0,0.02,2825.0,0.03,2.5,0.0,0.0,0.0,0.0,0.0,0.05,5.0,0.0,0.0,0.0,0.0,0.0,0.05,10.0,0.0,0.0,0.0,0.0,0.0,0.05
22,,,,60.0,0.1,True,True,True,True,0.0,,0.3,598.0,5980.0,211215.0,0.02,219691.0,0.0,0.5,20.0,200.0,7064.0,0.0,8476.0,0.02,1.0,3.0,30.0,1059.0,0.01,1412.0,0.02,2.5,0.0,0.0,0.0,0.0,353.0,0.03,5.0,1.0,10.0,353.0,0.2,353.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.23
23,,,,60.0,0.1,True,True,True,True,0.0,,0.3,353.0,3530.0,124685.0,0.01,129629.0,0.0,0.5,13.0,130.0,4591.0,0.0,4944.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
24,,,,60.0,0.1,True,True,True,True,0.0,,0.3,388.0,3880.0,137022.0,0.01,142318.0,0.0,0.5,13.0,130.0,4590.0,0.0,5296.0,0.01,1.0,1.0,10.0,353.0,0.0,706.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03
25,,,,60.0,0.1,True,True,True,True,0.0,,0.3,417.0,4170.0,147268.0,0.01,153624.0,0.0,0.5,16.0,160.0,5650.0,0.0,6356.0,0.01,1.0,2.0,20.0,706.0,0.0,706.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
26,,,,60.0,0.1,True,True,True,True,0.0,,0.3,278.0,2779.0,98163.0,0.01,100987.0,0.0,0.5,7.0,69.0,2471.0,0.0,2824.0,0.01,1.0,1.0,9.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
27,,,,60.0,0.1,True,True,True,True,0.0,,0.3,293.0,2929.0,103470.0,0.01,108413.0,0.0,0.5,9.0,89.0,3178.0,0.0,4943.0,0.01,1.0,3.0,29.0,1059.0,0.01,1765.0,0.01,2.5,2.0,19.0,706.0,0.05,706.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.07,10.0,0.0,0.0,0.0,0.0,0.0,0.07
28,,,,60.0,0.1,True,True,True,True,0.0,,0.3,396.0,3960.0,139867.0,0.01,146224.0,0.0,0.5,15.0,150.0,5298.0,0.0,6357.0,0.01,1.0,3.0,30.0,1059.0,0.01,1059.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02
29,,,,60.0,0.1,True,True,True,True,0.0,,0.3,356.0,3560.0,125745.0,0.01,134574.0,0.0,0.5,20.0,200.0,7064.0,0.0,8829.0,0.01,1.0,3.0,30.0,1059.0,0.01,1765.0,0.01,2.5,2.0,20.0,706.0,0.05,706.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.07,10.0,0.0,0.0,0.0,0.0,0.0,0.07
30,,,,60.0,0.1,True,True,True,True,0.0,,0.3,489.0,4890.0,172707.0,0.01,182595.0,0.0,0.5,26.0,260.0,9182.0,0.01,9888.0,0.01,1.0,2.0,20.0,706.0,0.0,706.0,0.02,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02
31,,,,60.0,0.1,True,True,True,True,0.0,,0.3,322.0,3220.0,113739.0,0.01,119036.0,0.0,0.5,11.0,110.0,3885.0,0.0,5297.0,0.01,1.0,4.0,40.0,1412.0,0.01,1412.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02
32,,,,60.0,0.1,True,True,True,True,0.0,,0.3,266.0,2659.0,93928.0,0.01,97812.0,0.0,0.5,11.0,109.0,3884.0,0.0,3884.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
33,,,,60.0,0.1,True,True,True,True,0.0,,0.3,337.0,3369.0,119009.0,0.01,124659.0,0.0,0.5,14.0,139.0,4944.0,0.0,5650.0,0.01,1.0,2.0,19.0,706.0,0.0,706.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
34,,,,60.0,0.1,True,True,True,True,0.0,,0.3,255.0,2550.0,90059.0,0.01,95003.0,0.0,0.5,13.0,130.0,4591.0,0.0,4944.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
35,,,,60.0,0.1,True,True,True,True,0.0,,0.3,434.0,4340.0,153267.0,0.01,160683.0,0.0,0.5,20.0,200.0,7063.0,0.0,7416.0,0.01,1.0,0.0,0.0,0.0,0.0,353.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03
36,,,,60.0,0.1,True,True,True,True,0.0,,0.3,400.0,4000.0,141260.0,0.01,147969.0,0.0,0.5,17.0,170.0,6003.0,0.0,6709.0,0.01,1.0,1.0,10.0,353.0,0.0,706.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03
37,,,,60.0,0.1,True,True,True,True,0.0,,0.3,384.0,3840.0,135620.0,0.01,142683.0,0.0,0.5,18.0,180.0,6357.0,0.0,7063.0,0.01,1.0,2.0,20.0,706.0,0.0,706.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
38,,,,60.0,0.1,True,True,True,True,0.0,,0.3,302.0,3020.0,106670.0,0.01,113381.0,0.0,0.5,19.0,190.0,6711.0,0.0,6711.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
39,,,,60.0,0.1,True,True,True,True,0.0,,0.3,377.0,3770.0,133149.0,0.01,136680.0,0.0,0.5,8.0,80.0,2825.0,0.0,3531.0,0.01,1.0,2.0,20.0,706.0,0.0,706.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
40,,,,60.0,0.1,True,True,True,True,0.0,,0.3,231.0,2310.0,81585.0,0.01,84410.0,0.0,0.5,8.0,80.0,2825.0,0.0,2825.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
41,,,,60.0,0.1,True,True,True,True,0.0,,0.3,334.0,3339.0,117943.0,0.01,121474.0,0.0,0.5,9.0,89.0,3178.0,0.0,3531.0,0.01,1.0,1.0,9.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
42,,,,60.0,0.1,True,True,True,True,0.0,,0.3,246.0,2459.0,86862.0,0.01,90746.0,0.0,0.5,11.0,109.0,3884.0,0.0,3884.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01
43,,,,60.0,0.1,True,True,True,True,0.0,,0.3,631.0,6310.0,222866.0,0.02,242289.0,0.0,0.5,34.0,340.0,12008.0,0.01,19423.0,0.02,1.0,8.0,80.0,2825.0,0.02,7415.0,0.03,2.5,9.0,90.0,3178.0,0.22,4590.0,0.05,5.0,2.0,20.0,706.0,0.39,1412.0,0.27,10.0,2.0,20.0,706.0,3.12,706.0,0.66
44,,,,60.0,0.1,True,True,True,True,0.0,,0.3,266.0,2660.0,93940.0,0.01,101708.0,0.0,0.5,18.0,180.0,6356.0,0.0,7768.0,0.01,1.0,3.0,30.0,1059.0,0.01,1412.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04
45,,,,60.0,0.1,True,True,True,True,0.0,,0.3,199.0,1989.0,70271.0,0.01,77686.0,0.0,0.5,19.0,189.0,6709.0,0.0,7415.0,0.01,1.0,0.0,0.0,0.0,0.0,706.0,0.01,2.5,1.0,9.0,353.0,0.02,706.0,0.01,5.0,1.0,9.0,353.0,0.2,353.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.23
46,,,,60.0,0.1,True,True,True,True,0.0,,0.3,83839.0,838547.0,29613018.0,2.48,31551096.0,0.0,0.5,4609.0,46098.0,1627958.0,0.9,1938077.0,2.48,1.0,717.0,7171.0,253253.0,1.78,310119.0,3.38,2.5,139.0,1390.0,49096.0,3.39,56866.0,5.16,5.0,20.0,200.0,7064.0,3.9,7770.0,8.55,10.0,2.0,20.0,706.0,3.12,706.0,12.450001
47,,,,60.0,0.1,True,True,True,True,0.0,,0.3,69532.0,695387.0,24557386.0,2.06,26100078.0,0.0,0.5,3669.0,36693.0,1295821.0,0.72,1542692.0,2.06,1.0,574.0,5740.0,202725.0,1.42,246871.0,2.78,2.5,113.0,1130.0,39909.0,2.75,44146.0,4.2,5.0,11.0,110.0,3884.0,2.15,4237.0,6.95,10.0,1.0,10.0,353.0,1.56,353.0,9.1
48,,,,60.0,0.1,True,True,True,True,0.0,,0.3,63917.0,639253.0,22575020.0,1.89,23980726.0,0.0,0.5,3321.0,33214.0,1172953.0,0.65,1405706.0,1.89,1.0,530.0,5300.0,187192.0,1.31,232753.0,2.54,2.5,111.0,1110.0,39204.0,2.71,45561.0,3.85,5.0,17.0,170.0,6004.0,3.32,6357.0,6.56,10.0,1.0,10.0,353.0,1.56,353.0,9.88
49,,,,60.0,0.1,True,True,True,True,0.0,,0.3,61259.0,612606.0,21633990.0,1.81,22985516.0,0.0,0.5,3211.0,32110.0,1133984.0,0.63,1351526.0,1.81,1.0,511.0,5110.0,180462.0,1.27,217542.0,2.44,2.5,94.0,940.0,33196.0,2.29,37080.0,3.71,5.0,11.0,110.0,3884.0,2.15,3884.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,8.15
50,,,,60.0,0.1,True,True,True,True,0.0,,0.3,52309.0,523103.0,18473242.0,1.55,19662316.0,0.0,0.5,2830.0,28300.0,999431.0,0.55,1189073.0,1.55,1.0,446.0,4460.0,157507.0,1.11,189642.0,2.1,2.5,83.0,830.0,29311.0,2.02,32135.0,3.21,5.0,5.0,50.0,1765.0,0.98,2824.0,5.23,10.0,3.0,30.0,1059.0,4.68,1059.0,6.21
51,,,,60.0,0.1,True,True,True,True,0.0,,0.3,47883.0,478851.0,16910472.0,1.42,18045532.0,0.0,0.5,2703.0,27031.0,954597.0,0.53,1135061.0,1.42,1.0,440.0,4400.0,155391.0,1.09,180464.0,1.95,2.5,65.0,650.0,22955.0,1.58,25073.0,3.04,5.0,5.0,50.0,1765.0,0.98,2118.0,4.62,10.0,1.0,10.0,353.0,1.56,353.0,5.6
52,,,,60.0,0.1,True,True,True,True,0.0,,0.3,45876.0,458800.0,16202381.0,1.36,17270388.0,0.0,0.5,2525.0,25252.0,891773.0,0.49,1068007.0,1.36,1.0,413.0,4130.0,145862.0,1.02,176234.0,1.85,2.5,82.0,820.0,28960.0,2.0,30372.0,2.87,5.0,4.0,40.0,1412.0,0.78,1412.0,4.87,10.0,0.0,0.0,0.0,0.0,0.0,5.65
53,,,,60.0,0.1,True,True,True,True,0.0,,0.3,38805.0,388115.0,13706164.0,1.15,14657346.0,0.0,0.5,2222.0,22223.0,784824.0,0.43,951182.0,1.15,1.0,406.0,4060.0,143401.0,1.01,166358.0,1.58,2.5,53.0,530.0,18719.0,1.29,22957.0,2.59,5.0,11.0,110.0,3885.0,2.15,4238.0,3.88,10.0,1.0,10.0,353.0,1.56,353.0,6.03
54,,,,60.0,0.1,True,True,True,True,0.0,,0.3,36532.0,365310.0,12900804.0,1.08,13819665.0,0.0,0.5,2219.0,22189.0,783611.0,0.43,918861.0,1.08,1.0,334.0,3339.0,117947.0,0.83,135250.0,1.51,2.5,45.0,449.0,15891.0,1.1,17303.0,2.34,5.0,3.0,29.0,1059.0,0.59,1412.0,3.44,10.0,1.0,9.0,353.0,1.56,353.0,4.03
55,,,,60.0,0.1,True,True,True,True,0.0,,0.3,33897.0,338970.0,11970637.0,1.0,12760979.0,0.0,0.5,1899.0,18990.0,670626.0,0.37,790342.0,1.0,1.0,299.0,2990.0,105591.0,0.74,119716.0,1.37,2.5,39.0,390.0,13772.0,0.95,14125.0,2.11,5.0,1.0,10.0,353.0,0.2,353.0,3.06,10.0,0.0,0.0,0.0,0.0,0.0,3.26
56,,,,60.0,0.1,True,True,True,True,0.0,,0.3,31871.0,318736.0,11256075.0,0.94,12023172.0,0.0,0.5,1844.0,18441.0,651256.0,0.36,767097.0,0.94,1.0,279.0,2790.0,98536.0,0.69,115841.0,1.3,2.5,46.0,460.0,16246.0,1.12,17305.0,1.99,5.0,3.0,30.0,1059.0,0.59,1059.0,3.11,10.0,0.0,0.0,0.0,0.0,0.0,3.7
57,,,,60.0,0.1,True,True,True,True,0.0,,0.3,31926.0,319337.0,11277281.0,0.94,12044498.0,0.0,0.5,1847.0,18474.0,652419.0,0.36,767217.0,0.94,1.0,284.0,2840.0,100317.0,0.7,114798.0,1.3,2.5,38.0,380.0,13422.0,0.93,14481.0,2.0,5.0,3.0,30.0,1059.0,0.59,1059.0,2.93,10.0,0.0,0.0,0.0,0.0,0.0,3.52
58,,,,60.0,0.1,True,True,True,True,0.0,,0.3,30358.0,303583.0,10720938.0,0.9,11463964.0,0.0,0.5,1772.0,17720.0,625782.0,0.35,743026.0,0.9,1.0,284.0,2840.0,100294.0,0.7,117244.0,1.25,2.5,44.0,440.0,15538.0,1.07,16950.0,1.95,5.0,4.0,40.0,1412.0,0.78,1412.0,3.02,10.0,0.0,0.0,0.0,0.0,0.0,3.8
59,,,,60.0,0.1,True,True,True,True,0.0,,0.3,30311.0,303070.0,10702820.0,0.9,11429852.0,0.0,0.5,1728.0,17277.0,610157.0,0.34,727032.0,0.9,1.0,291.0,2909.0,102752.0,0.72,116875.0,1.24,2.5,38.0,379.0,13417.0,0.93,14123.0,1.96,5.0,2.0,19.0,706.0,0.39,706.0,2.89,10.0,0.0,0.0,0.0,0.0,0.0,3.28
60,,,,60.0,0.1,True,True,True,True,0.0,,0.3,29755.0,297587.0,10509207.0,0.88,11213469.0,0.0,0.5,1662.0,16622.0,587003.0,0.32,704262.0,0.88,1.0,283.0,2830.0,99953.0,0.7,117259.0,1.2,2.5,48.0,480.0,16953.0,1.17,17306.0,1.9,5.0,1.0,10.0,353.0,0.2,353.0,3.07,10.0,0.0,0.0,0.0,0.0,0.0,3.27
61,,,,60.0,0.1,True,True,True,True,0.0,,0.3,26966.0,269691.0,9524049.0,0.8,10183448.0,0.0,0.5,1571.0,15711.0,554857.0,0.31,659399.0,0.8,1.0,249.0,2490.0,87943.0,0.62,104542.0,1.11,2.5,43.0,430.0,15187.0,1.05,16599.0,1.73,5.0,4.0,40.0,1412.0,0.78,1412.0,2.78,10.0,0.0,0.0,0.0,0.0,0.0,3.56
62,,,,60.0,0.1,True,True,True,True,0.0,,0.3,28298.0,282989.0,9993683.0,0.84,10666095.0,0.0,0.5,1586.0,15860.0,560109.0,0.31,672412.0,0.84,1.0,268.0,2680.0,94646.0,0.66,112303.0,1.15,2.5,47.0,470.0,16598.0,1.15,17657.0,1.81,5.0,3.0,30.0,1059.0,0.59,1059.0,2.96,10.0,0.0,0.0,0.0,0.0,0.0,3.55
63,,,,60.0,0.1,True,True,True,True,0.0,,0.3,26778.0,267771.0,9456247.0,0.79,10102129.0,0.0,0.5,1543.0,15429.0,544887.0,0.3,645882.0,0.79,1.0,248.0,2479.0,87577.0,0.61,100995.0,1.09,2.5,35.0,349.0,12359.0,0.85,13418.0,1.7,5.0,2.0,19.0,706.0,0.39,1059.0,2.55,10.0,1.0,9.0,353.0,1.56,353.0,2.94
